ins,tw,text,location1,location2
rikki_d_#,rikylee,Went to Stansbury - did a handstand 🤸🏼‍ @ Stansbury Blue Lime Cafe https://t.co/JFzC1CRg9M,138.454965,-35.3557541
jessieheath,jessiebiscuit,Scenic 🍃🏯 @ Nan Hai Pu Tuo Temple https://t.co/er49AygvYi,138.44905803,-35.35129406
anabellico,anabllico,⛅🍃💮 @ Nan Hai Pu Tuo Temple https://t.co/Xmwb6dkNxE,138.44924429,-35.34980763
anabellico,anabllico,🌵⛅🌺🍃 @ Nan Hai Pu Tuo Temple https://t.co/BQKkKYYcwD,138.44924429,-35.34980763
anabellico,anabllico,⛅🍃💮 @ Nan Hai Pu Tuo Temple https://t.co/Xmwb6dkNxE,138.44924429,-35.34980763
anabellico,anabllico,🌵⛅🌺🍃 @ Nan Hai Pu Tuo Temple https://t.co/BQKkKYYcwD,138.44924429,-35.34980763
anabellico,anabllico,⛅🍃💮 @ Nan Hai Pu Tuo Temple https://t.co/Xmwb6dkNxE,138.44924429,-35.34980763
emirging,emirgmagazine,The hardest arithmetic to master is that which… https://t.co/n00WsScesj,138.44728,-35.33413
anabellico,anabllico,"Monday adventures ❤🌊🌅 @ Sellicks Beach, South Australia https://t.co/QpaSMggPQu",138.448,-35.33
anabellico,anabllico,"Monday adventures ❤🌊🌅 @ Sellicks Beach, South Australia https://t.co/QpaSMggPQu",138.448,-35.33
anabellico,anabllico,Miss you already ❤🌅🌊 @ Sellicks https://t.co/5YagUQbUx9,138.45232115,-35.2845409
jessieheath,jessiebiscuit,I'm at Aldinga Beach https://t.co/b4j3rdjrdM,138.4526618,-35.27836303
maschonwss,maschnwss,"Kuya Bangky 👏👏 #ForevermoreFinally
XaGnes Syndrome",138.46340145,-35.28291492
maschonwss,maschnwss,Xin Nian Kuai Le!🎇🎉🇨🇳🎊,138.46358654,-35.28304485
maschonwss,maschnwss,"Yey umabot ako! 🎉🎊 
LIZAonASAP20
ENRIQUEGILonASAP20 
LIZQUENonASAP20",138.46360783,-35.28302335
maschonwss,maschnwss,Hindi ako prepared dun ahh 😍  #ForevermoreEncounter,138.46358327,-35.28297587
maschonwss,maschnwss,@charmwander this! My thoughts exactly 😂😂😂,138.46358101,-35.28294381
maschonwss,maschnwss,Omg Enrique 😍 why so 🔥🔥🔥 🙈,138.46358125,-35.28294343
maschonwss,maschnwss,“@ddlovato: Too many haters on Twitter these days. This generation needs to learn how to love a little.”❤️,138.46367406,-35.28304923
maschonwss,maschnwss,"Forevermore, forever paasa 😂😂 #ForevermoreTryAgain",138.46351974,-35.28292009
maschonwss,maschnwss,@Enriiquegil17 I feel you 😭 #ForevermorePagsuyo,138.46352493,-35.28288011
maschonwss,maschnwss,Work + driving lesson = tired af 😓,138.46346387,-35.28284867
nikasyraaf/,nikasyraaf,"I'm at Port Willunga Beach in Port Willunga, SA https://t.co/YGHpVf9B3s",138.46074137,-35.26134311
beingthe_change,Beingthe_Change,"If I ever open a restaurant,  it has to have this panoramic view like this restaurant has.… https://t.co/pvlnZM4OcI",138.46135888,-35.26017564
chloeeatsdirt/?hl=en,ChloeCann,"Australia does alright 👀🇦🇺 #SouthAustralia #SeeSouthAustralia #SeeAustralia 
.
.
.
.
.
#beach… https://t.co/m6Gbazwfn8",138.46135888,-35.26017564
alvinaaaa,alvinat,"sunset is my favourite #WanderWithALVINAAAA #SeeAustralia #SeeSouthAustralia @ Port Willunga, South Australia, Aust… https://t.co/9VUmwbvT6U",138.46405683,-35.25968841
morgan13v,morgan13v,"Selfie time with Cousin Krista !!!!
#love #TagsForLikes.com #TagsForLikesApp #instagood #me #smile… https://t.co/qPsyDWXoIC",138.47837532,-35.26335977
crisduman,Crisduman,Hallando equilibrio... @ Maslin Beach https://t.co/O66RgOKiaZ,138.47668963,-35.22960053
justjacky,justjacky,NAKEY NAKEY NAKED 🙊🙈 📸: mixieho #happyholidays @ Maslin Beach https://t.co/wVZQ70cq8N,138.47668963,-35.22960053
solcanavese_,SolCanavese,🖤Isabella🖤 en Maslin Beach https://t.co/Vm1Zl4fXUO,138.47668963,-35.22960053
ashleeyevanss_,ashbaaag_,merry christmas! @ 🎄🎅🎁 http://t.co/tyMfpGz8pr,138.4771286,-35.21534933
kel.armstrong,kel_armstrong10,@flintoff11 for @ImACelebrityAU final #celebfreddy #celebfreddy #celebfreddy,138.4896162,-35.2014653
sota_n07,sota724,Today's sunset. #Australia #Aderead #sea #sunset #today #evening #drive #beach #photo #beautiful #good… http://t.co/rmkmcWuyuM,138.46997007,-35.19592668
rikki_d_#,rikylee,Stoked i got to the beach before the rain did 😁💦 next beach visit will be in BALI!!! @ Seaford Beach https://t.co/K1H9EODpLC,138.46822,-35.18144
money_diplomats/?hl=en,Money_Diplomats,Skinny nigga but... 😏 @ Good For Your Guts https://t.co/jbFVHS5Oph,138.46926,-35.17292
_joanneling,_joanneling,"Absorbing vitamin sea or D?
.
.
.
#southaustralia #southaustralianbeaches #instaadelaide… https://t.co/f4zPe2dfvu",138.4700045,-35.16786862
crisduman,Crisduman,"Wizard of Oz, sunny sunday art... @ Port Noarlunga South https://t.co/lHU2rBfyJ8",138.4700045,-35.16786862
pigrabbit16,PigRabbit16,🏖🇦🇺😊 #strayaday @ Port Noarlunga South Esplanade https://t.co/NTSNtT1zke,138.46850295,-35.16692826
pigrabbit16,PigRabbit16,Beach-ing with my bitches ❤️ @ Port Noarlunga South Esplanade https://t.co/FycRJrvoEy,138.46850295,-35.16692826
pigrabbit16,PigRabbit16,Group picture! Happy Straya day! 🇦🇺 @ Port Noarlunga South Esplanade https://t.co/T9R3SojwtS,138.46850295,-35.16692826
pigrabbit16,PigRabbit16,🏖🇦🇺😊 #strayaday @ Port Noarlunga South Esplanade https://t.co/NTSNtT1zke,138.46850295,-35.16692826
pigrabbit16,PigRabbit16,Beach-ing with my bitches ❤️ @ Port Noarlunga South Esplanade https://t.co/FycRJrvoEy,138.46850295,-35.16692826
pigrabbit16,PigRabbit16,Group picture! Happy Straya day! 🇦🇺 @ Port Noarlunga South Esplanade https://t.co/T9R3SojwtS,138.46850295,-35.16692826
pigrabbit16,PigRabbit16,🏖🇦🇺😊 #strayaday @ Port Noarlunga South Esplanade https://t.co/NTSNtT1zke,138.46850295,-35.16692826
ashleighspear/,AshleighSpear_,6.27 @ Southport Beach https://t.co/JCzI4qF8AT,138.46951,-35.15946
thejetvillalife,JetVillaLife,"#JetVillaLife 
A beautiful sunset down under. Tag a travel buddy you would take to Australia.
Photo by mikeleeimage… https://t.co/n4bnAJxgUh",138.46951,-35.15946
misstherese13,ZoeButlerPR,@AustGlutenFreeL I'm trying to make Not Vegemite Scrolls. Send #help. #drowning in #breadmix. It smells #delicious though..,138.48200696,-35.17712136
fitzy18,FitzySA,"Every bloody year this place produces. Do yourself a favour and get to the Fleurieu, cheers 🍻 @… https://t.co/qjIVUZU6BS",138.4719447,-35.1686437
marsz_v,Marsz_v,I don’t know when I… https://t.co/NFB1rfdvx5,138.4817783,-35.1723245
fitzy18,FitzySA,Hewie got to have a kick with the mighty Cockledivers portnoarlungafc in the U/10’s this morning. He snagged a coup… https://t.co/xyZJ5l58jh,138.4757,-35.15764
jeddobre,jeddobre,Werkin for the man! 🚶🚶🚶#WhatIsADayOff 😷😷 #DoItForTheKids 🐒🐒#SoonIllBeInCali🏄🏊🚣😝😎 @ Mt… https://t.co/MJmfzBhDai,138.62142143,-35.34923781
joshortenzi,joshortenzii,"Honestly a great night #TeddysFuckingWasted @ Yundi, South Australia,… https://t.co/e8mdgsRWdH",138.634582,-35.31649247
beingthe_change,Beingthe_Change,Last day here in Australia 🇦🇺 and I spent it in the wine regions of SA. This leg of my trip was… https://t.co/51oJerQqGU,138.533,-35.2333
harrisonsean,HarryGrindle,Office goals @ Primo Estate https://t.co/eFjH0VEnfB,138.55804395,-35.23089957
sashaaabc/,Katshaoc,🍷🍷🍷🍷💁🏻 @ Mclaren Vale Wine Region https://t.co/Bnp1JV43zk,138.53607067,-35.21414885
sashaaabc/,Katshaoc,😊 @ Mclaren Vale Wine Region https://t.co/C1QBGwBHxD,138.52900785,-35.20788899
ashleeyevanss_,ashbaaag_,Teddy bear twins w/ @missalanna_m 🐻 @ Bracegirdles at 190 http://t.co/Ii0ChrsHJW,138.53813095,-35.21518048
